"ntTitle","ntDec","result","tDec","tTitle"
"Antihypertensive drugs and risk of cancer: network meta-analyses and trial sequential analyses of 324168 participants from randomised trials (Structured abstract)","Exclude","","Exclude","Antihypertensive drugs and risk of cancer: network meta-analyses and trial sequential analyses of 324168 participants from randomised trials"
"Anti-hypertensive drugs as disease-modifying agents for Parkinson's disease: evidence from observational studies and clinical trials","Exclude","","Exclude","Anti-hypertensive drugs as disease-modifying agents for Parkinson's disease: evidence from observational studies and clinical trials"
"Antihypertensive effects of statins: a meta-analysis of prospective controlled studies (Provisional abstract)","Exclude","","Exclude","Antihypertensive effects of statins: a meta-analysis of prospective controlled studies"
"Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials (Structured abstract)","Exclude","","Exclude","Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials"
"Antihypertensive therapy and incidence of type 2 diabetes (Provisional abstract)","Exclude","",,
"Antihypertensive treatment and development of heart failure in hypertension: a Bayesian network meta-analysis of studies in patients with hypertension and high cardiovascular risk (Structured abstract)","Exclude","",,
"Antihypertensive treatment and secondary prevention of cardiovascular disease events among persons without hypertension: a meta-analysis (Structured abstract)","Exclude","","Exclude","Antihypertensive treatment and secondary prevention of cardiovascular disease events among persons without hypertension: a meta-analysis"
"Antihypertensive treatment for kidney transplant recipients","Exclude","","Exclude","Antihypertensive treatment for kidney transplant recipients"
"Antihypertensive treatment in people with dementia (Provisional abstract)","Exclude","",,
"Antihypertensives for kidney transplant recipients: systematic review and meta-analysis of randomized controlled trials (Structured abstract)","Exclude","","Exclude","Antihypertensives for kidney transplant recipients: systematic review and meta-analysis of randomized controlled trials"
"Antiplatelet agents and anticoagulants for hypertension","Exclude","","Exclude","Antiplatelet agents and anticoagulants for hypertension"
"Are calcium antagonists beneficial in diabetic patients with hypertension? (Structured abstract)","Exclude","","Exclude","Are calcium antagonists beneficial in diabetic patients with hypertension?"
"Aspirin for the primary prevention of cardiovascular events: a systematic review and meta-analysis comparing patients with and without diabetes (Structured abstract)","Exclude","","Exclude","Aspirin for the primary prevention of cardiovascular events: a systematic review and meta-analysis comparing patients with and without diabetes"
"Aspirin, steroidal and non-steroidal anti-inflammatory drugs for the treatment of Alzheimer's disease","Exclude","","Exclude","Aspirin, steroidal and non-steroidal anti-inflammatory drugs for the treatment of Alzheimer's disease"
"Association between body mass index and cardiovascular disease mortality in east Asians and south Asians: pooled analysis of prospective data from the Asia Cohort Consortium (Provisional abstract)","Exclude","","Exclude","Association between body mass index and cardiovascular disease mortality in east Asians and south Asians: pooled analysis of prospective data from the Asia Cohort Consortium"
"The association of antihypertensive medication use with risk of cognitive decline and dementia: a meta-analysis of longitudinal studies (Structured abstract)","Exclude","","Exclude","The association of antihypertensive medication use with risk of cognitive decline and dementia: a meta-analysis of longitudinal studies"
"Association of endothelial nitric oxide synthase (eNOS) G894T polymorphism with high altitude pulmonary edema susceptibility: a meta-analysis (Provisional abstract)","Exclude","",,
"Associations of kidney disease measures with mortality and end-stage renal disease in individuals with and without hypertension: a meta-analysis (Provisional abstract)","Exclude","","Exclude","Associations of kidney disease measures with mortality and end-stage renal disease in individuals with and without hypertension: a meta-analysis"
"Associations of polymorphisms in the beta2-adrenergic receptor gene with essential hypertension in Han Chinese population (Provisional abstract)","Exclude","",,
"Astragalus injection for hypertensive renal damage: a systematic review (Provisional abstract)","Exclude","","Exclude","Astragalus injection for hypertensive renal damage: a systematic review"
"Atenolol as a comparator in outcome trials in hypertension: a correct choice in the past, but not for the future? (Provisional abstract)","Exclude","","Exclude","Atenolol as a comparator in outcome trials in hypertension: a correct choice in the past, but not for the future?"
"Atenolol in hypertension: is it a wise choice? (Structured abstract)","Exclude","","Exclude","Atenolol in hypertension: is it a wise choice?"
"Barbiturates for acute traumatic brain injury","Exclude","",,
"Bariatric surgery for the treatment of idiopathic intracranial hypertension (Provisional abstract)","Exclude","",,
"Beta1-adrenoceptor gene Arg389Gly polymorphism and essential hypertension risk in general population: a meta-analysis (Provisional abstract)","Exclude","",,
"Beta blockers for peripheral arterial disease","Exclude","","Exclude","Beta blockers for peripheral arterial disease"
"Beta-blockers alone or with endoscopic therapy for prevention of variceal rebleeding in portal hypertension","Exclude","",,
"Beta-blockers in heart failure: benefits of beta-blockers according to varying male proportions of study patients (Structured abstract)","Exclude","",,
"Biofeedback for the treatment of hypertension (Structured abstract)","Exclude","CONFLICT","Include","Biofeedback for the treatment of hypertension"
"Blood biomarkers and their potential role in pulmonary arterial hypertension associated with congenital heart disease. A systematic review (Provisional abstract)","Exclude","","Exclude","Blood biomarkers and their potential role in pulmonary arterial hypertension associated with congenital heart disease. a systematic review"
"Blood pressure control for diabetic retinopathy","Exclude","","Exclude","Blood pressure control for diabetic retinopathy"
"Blood pressure lowering and major cardiovascular events in people with and without chronic kidney disease: meta-analysis of randomised controlled trials (Structured abstract)","Exclude","","Exclude","Blood pressure lowering and major cardiovascular events in people with and without chronic kidney disease: meta-analysis of randomised controlled trials"
"Blood pressure lowering effect of diuretics as second line therapy for primary hypertension in crossover trials","Exclude","",,
"Blood pressure lowering efficacy of beta-1 selective beta blockers for primary hypertension","Exclude","",,
"Blood pressure lowering efficacy of calcium-channel blockers as second-line therapy for primary hypertension","Exclude","",,
"Blood pressure lowering efficacy of clonidine for primary hypertension","Exclude","",,
"Blood pressure lowering efficacy of drugs inhibiting the renin-angiotensin system as second-line therapy for primary hypertension","Exclude","",,
"Blood pressure lowering efficacy of dual alpha and beta blockers for primary hypertension","Exclude","",,
"Blood pressure lowering in patients without prior cerebrovascular disease for prevention of cognitive impairment and dementia","Exclude","","Exclude","Blood pressure lowering in patients without prior cerebrovascular disease for prevention of cognitive impairment and dementia"
"Blood pressure lowering treatment for preventing stroke recurrence: a systematic review and meta-analysis (Structured abstract)","Exclude","","Exclude","Blood pressure lowering treatment for preventing stroke recurrence: a systematic review and meta-analysis"
"Blood pressure monitoring chairs to identify hypertension: a review of the clinical effectiveness and guidelines (Structured abstract)","Exclude","","Exclude","Blood pressure monitoring chairs to identify hypertension: a review of the clinical effectiveness and guidelines"
"Blood pressure reduction and renin-angiotensin system inhibition for prevention of congestive heart failure: a meta-analysis (Structured abstract)","Exclude","","Exclude","Blood pressure reduction and renin-angiotensin system inhibition for prevention of congestive heart failure: a meta-analysis"
"Blood pressure reduction and secondary prevention of stroke and other vascular events: a systematic review (Provisional abstract)","Exclude","","Exclude","Blood pressure reduction and secondary prevention of stroke and other vascular events: a systematic review"
"Blood pressure targets for hypertension in patients with chronic renal disease","Exclude","",,
"Blood pressure targets for hypertension in people with diabetes mellitus","Exclude","","Exclude","Blood pressure targets for hypertension in people with diabetes mellitus"
"Blood pressure targets for the treatment of patients with hypertension and cardiovascular disease","Exclude","",,
"Blood pressure targets in patients with coronary artery disease: observations from traditional and Bayesian random effects meta-analysis of randomised trials (Provisional abstract)","Exclude","",,
"Blood pressure targets in subjects with type 2 diabetes mellitus/impaired fasting glucose: observations from traditional and Bayesian random-effects meta-analyses of randomized trials (Structured abstract)","Exclude","","Exclude","Blood pressure targets in subjects with type 2 diabetes mellitus/impaired fasting glucose: observations from traditional and Bayesian random-effects meta-analyses of randomized trials"
"Blood pressure-lowering effects of GLP-1 receptor agonists exenatide and liraglutide: a meta-analysis of clinical trials (Provisional abstract)","Exclude","",,
"Blood pressure-lowering treatment based on cardiovascular risk: a meta-analysis of individual patient data (Provisional abstract)","Exclude","",,
"Bosentan for chronic thromboembolic pulmonary hypertension: findings from a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Bosentan for chronic thromboembolic pulmonary hypertension: findings from a systematic review and meta-analysis"
"BpTRU (TM) blood pressure monitor for use in a physician's office (Structured abstract)","Exclude","","Exclude","BpTRU (TM) blood pressure monitor for use in a physician's office"
"Bradykinin beta2 receptor ?58T/C gene polymorphism and essential hypertension: a meta-analysis (Provisional abstract)","Exclude","",,
"Bronchodilators for the prevention and treatment of chronic lung disease in preterm infants","Exclude","","Exclude","Bronchodilators for the prevention and treatment of chronic lung disease in preterm infants"
"The C825T polymorphism of the G-Protein beta3 subunit gene and its association with hypertension and stroke: an ppdated meta-analysis (Provisional abstract)","Exclude","",,
"Calcineurin inhibitor withdrawal from sirolimus-based therapy in kidney transplantation: a systematic review of randomized trials (Structured abstract)","Exclude","","Exclude","Calcineurin inhibitor withdrawal from sirolimus-based therapy in kidney transplantation: a systematic review of randomized trials"
"Calcineurin inhibitor withdrawal or tapering for kidney transplant recipients","Exclude","",,
"Calcium channel blockers and cardiovascular outcomes: a meta-analysis of 175,634 patients (Structured abstract)","Exclude","","Exclude","Calcium channel blockers and cardiovascular outcomes: a meta-analysis of 175,634 patients"
"Calcium channel blockers for pulmonary arterial hypertension","Exclude","",,
"Calcium channel blockers versus other classes of drugs for hypertension","Exclude","","Exclude","Calcium channel blockers versus other classes of drugs for hypertension"
"Calcium supplementation for prevention of primary hypertension","Exclude","",,
"Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis","Exclude","","Exclude","Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis"
"Cardiac events in hypertensive patients with renal artery stenosis treated with renal angioplasty or drug therapy: meta-analysis of randomized trials (Provisional abstract)","Exclude","","Exclude","Cardiac events in hypertensive patients with renal artery stenosis treated with renal angioplasty or drug therapy: meta-analysis of randomized trials"
"Cardioselective beta-blockers for chronic obstructive pulmonary disease","Exclude","","Exclude","Cardioselective beta-blockers for chronic obstructive pulmonary disease"
"Cardiovascular disease prevention using fixed dose pharmacotherapy in Iran: updated meta-analyses and mortality estimation (Provisional abstract)","Exclude","","Exclude","Cardiovascular disease prevention using fixed dose pharmacotherapy in Iran: updated meta-analyses and mortality estimation"
"Cardiovascular protection with antihypertensive drugs in dialysis patients: systematic review and meta-analysis (Structured abstract)","Exclude","","Exclude","Cardiovascular protection with antihypertensive drugs in dialysis patients: systematic review and meta-analysis"
"Carotid intima-media thickness and antihypertensive treatment: a meta-analysis of randomized controlled trials (Provisional abstract)","Exclude","","Exclude","Carotid intima-media thickness and antihypertensive treatment: a meta-analysis of randomized controlled trials"
"Carotid sinus nerve blockade to reduce blood pressure instability following carotid endarterectomy: a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Carotid sinus nerve blockade to reduce blood pressure instability following carotid endarterectomy: a systematic review and meta-analysis"
"Changes in home versus clinic blood pressure with antihypertensive treatments: a meta-analysis (Structured abstract)","Exclude","","Exclude","Changes in home versus clinic blood pressure with antihypertensive treatments: a meta-analysis"
"Chinese herbal medicine for the treatment of prehypertension (Provisional abstract)","Exclude","",,
"Chinese herbal medicines for hypercholesterolemia","Exclude","","Exclude","Chinese herbal medicines for hypercholesterolemia"
"Chinese herbal medicines for hypertriglyceridaemia","Exclude","","Exclude","Chinese herbal medicines for hypertriglyceridaemia"
"Chlorthalidone compared with hydrochlorothiazide in reducing cardiovascular events: systematic review and network meta-analyses (Structured abstract)","Exclude","","Exclude","Chlorthalidone compared with hydrochlorothiazide in reducing cardiovascular events: systematic review and network meta-analyses"
"Cilostazol for intermittent claudication","Exclude","",,
"Clevidipine (Cleviprex) for acute hypertension (Structured abstract)","Exclude","",,
"Clinical and cost effectiveness of epoprostenol, iloprost, bosentan, sitaxentan, and sildenafil for the treatment of pulmonary arterial hypertension within their licensed indications: a systematic review and economic evaluation (Structured abstract)","Exclude","","Exclude","Clinical and cost effectiveness of epoprostenol, iloprost, bosentan, sitaxentan, and sildenafil for the treatment of pulmonary arterial hypertension within their licensed indications: a systematic review and economic evaluation"
"Clinical and cost-effectiveness of epoprostenol, iloprost, bosentan, sitaxentan and sildenafil for pulmonary arterial hypertension within their licensed indications: a systematic review and economic evaluation (Structured abstract)","Exclude","","Exclude","Clinical and cost-effectiveness of epoprostenol, iloprost, bosentan, sitaxentan and sildenafil for pulmonary arterial hypertension within their licensed indications: a systematic review and economic evaluation"
"Clinical characteristics, haemodynamics and treatment of pulmonary hypertension in sarcoidosis in a single centre, and meta-analysis of the published data (Provisional abstract)","Exclude","","Exclude","Clinical characteristics, haemodynamics and treatment of pulmonary hypertension in sarcoidosis in a single centre, and meta-analysis of the published data"
"Clinical effectiveness analysis of bosentan, epoprostenol, iloprost, sildenafil and treprostinil in treatment of pulmonary arterial hypertension: a systematic review of randomised controlled trials (Structured abstract)","Exclude","",,
"Clinical effectiveness and quality of life of conventional haemodialysis versus short daily haemodialysis: a systematic review (Structured abstract)","Exclude","","Exclude","Clinical effectiveness and quality of life of conventional haemodialysis versus short daily haemodialysis: a systematic review"
"Clinical outcomes after percutaneous revascularization versus medical management in patients with significant renal artery stenosis: a meta-analysis of randomized controlled trials (Structured abstract)","Exclude","","Exclude","Clinical outcomes after percutaneous revascularization versus medical management in patients with significant renal artery stenosis: a meta-analysis of randomized controlled trials"
"Closing the quality gap: a critical analysis of quality improvement strategies. Volume 3 - hypertension care (Structured abstract)","Exclude","","Exclude","Closing the quality gap: a critical analysis of quality improvement strategies. Volume 3 - hypertension care"
"Combination medical treatment for primary open angle glaucoma and ocular hypertension: a network meta-analysis","Exclude","",,
"Combination of low-dose bupivacaine and opioids provides satisfactory analgesia with less intraoperative hypotension for spinal anesthesia in cesarean section (Structured abstract)","Exclude","","Exclude","Combination of low-dose bupivacaine and opioids provides satisfactory analgesia with less intraoperative hypotension for spinal anesthesia in cesarean section"
"Combination therapy for pulmonary arterial hypertension: a review of the clinical effectiveness (Structured abstract)","Exclude","","Exclude","Combination therapy for pulmonary arterial hypertension: a review of the clinical effectiveness"
"Combination therapy improves exercise capacity and reduces risk of clinical worsening in patients with pulmonary arterial hypertension: a meta-analysis (Provisional abstract)","Exclude","","Exclude","Combination therapy improves exercise capacity and reduces risk of clinical worsening in patients with pulmonary arterial hypertension: a meta-analysis"
"Combination therapy in pulmonary arterial hypertension: a meta-analysis (Provisional abstract)","Exclude","","Exclude","Combination therapy in pulmonary arterial hypertension: a meta-analysis"
"Combination therapy in the management of pulmonary arterial hypertension (Provisional abstract)","Exclude","",,
"Comparative analysis of beta-blockers with other antihypertensive agents on cardiovascular outcomes in hypertensive patients with diabetes mellitus: a systematic review and meta-analysis (Structured abstract)","Exclude","","Exclude","Comparative analysis of beta-blockers with other antihypertensive agents on cardiovascular outcomes in hypertensive patients with diabetes mellitus: a systematic review and meta-analysis"
"Comparative effectiveness and safety of drug therapy for pulmonary arterial hypertension: a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Comparative Effectiveness and Safety of Drug Therapy for Pulmonary Arterial Hypertension: A Systematic Review and Meta-Analysis"
"Comparative effectiveness of antihypertensive medication for primary prevention of cardiovascular disease: systematic review and multiple treatments meta-analysis (Structured abstract)","Exclude","","Exclude","Comparative effectiveness of antihypertensive medication for primary prevention of cardiovascular disease: systematic review and multiple treatments meta-analysis"
"Comparative effectiveness of management strategies for renal artery stenosis (Structured abstract)","Exclude","","Exclude","Comparative effectiveness of management strategies for renal artery stenosis"
"Comparative effectiveness of renin-angiotensin system blockers and other antihypertensive drugs in patients with diabetes: systematic review and Bayesian network meta-analysis (Structured abstract)","Exclude","","Exclude","Comparative effectiveness of renin-angiotensin system blockers and other antihypertensive drugs in patients with diabetes: systematic review and Bayesian network meta-analysis"
"Comparison of hand-assisted laparoscopic surgery and open surgery for portal hypertension: a meta-analysis (Provisional abstract)","Exclude","",,
"Computerized clinical decision support systems for chronic disease management: a decision-maker-researcher partnership systematic review (Structured abstract)","Exclude","","Exclude","Computerized clinical decision support systems for chronic disease management: a decision-maker-researcher partnership systematic review"
"Conjunctival hyperaemia with the use of latanoprost versus other prostaglandin analogues in patients with ocular hypertension or glaucoma: a meta-analysis of randomised clinical trials (Structured abstract)","Exclude","",,
"Conjunctival hyperemia with the use of a fixed combination of latanoprost/timolol: systematic review and meta-analysis of clinical trials (Provisional abstract)","Exclude","",,
"Contracts between patients and healthcare practitioners for improving patients' adherence to treatment, prevention and health promotion activities","Exclude","","Exclude","Contracts between patients and healthcare practitioners for improving patients' adherence to treatment, prevention and health promotion activities"
"Controlling Hypertension and Hypotension Immediately Post-Stroke (CHHIPS) - a randomised controlled trial (Structured abstract)","Exclude","",,
"Cordyceps sinensis for hypertension in adults","Exclude","",,
"Corticosteroid therapy for nephrotic syndrome in children","Exclude","","Exclude","Corticosteroid therapy for nephrotic syndrome in children"
"Corticosteroids for Guillain-Barré syndrome","Exclude","","Exclude","Corticosteroids for Guillain-Barré syndrome"
"Corticosteroids for pneumonia","Exclude","","Exclude","Corticosteroids for pneumonia"
"Corticosteroids for the prevention and treatment of post-extubation stridor in neonates, children and adults","Exclude","","Exclude","Corticosteroids for the prevention and treatment of post-extubation stridor in neonates, children and adults"
"Cost effectiveness analysis of evidence-based Finnish guidelines for antihypertensive interventions: A Markov model approach (Project record)","Exclude","",,
"Cost-effectiveness of different strategies for the treatment and monitoring of ocular hypertension and glaucoma (Project record)","Exclude","",,
"Curcumin for maintenance of remission in ulcerative colitis","Exclude","","Exclude","Curcumin for maintenance of remission in ulcerative colitis"
"Cyclosporin A for primary biliary cirrhosis","Exclude","","Exclude","Cyclosporin A for primary biliary cirrhosis"
"Darbepoetin for the anaemia of chronic kidney disease","Exclude","","Exclude","Darbepoetin for the anaemia of chronic kidney disease"
"Decompressive craniectomy for the treatment of refractory high intracranial pressure in traumatic brain injury","Exclude","",,
"Decompressive craniectomy: a meta-analysis of influences on intracranial pressure and cerebral perfusion pressure in the treatment of traumatic brain injury (Provisional abstract)","Exclude","","Exclude","Decompressive craniectomy: a meta-analysis of influences on intracranial pressure and cerebral perfusion pressure in the treatment of traumatic brain injury"
"Delivery versus expectant management for hypertensive disorders from 34 weeks gestation to term","Exclude","",,
"The development of new-onset type 2 diabetes associated with choosing a calcium channel blocker compared to a diuretic or beta-blocker (Structured abstract)","Exclude","","Exclude","The development of new-onset type 2 diabetes associated with choosing a calcium channel blocker compared to a diuretic or beta-blocker"
"The diabetogenic potential of thiazide-type diuretic and beta-blocker combinations in patients with hypertension (Provisional abstract)","Exclude","","Exclude","The diabetogenic potential of thiazide-type diuretic and beta-blocker combinations in patients with hypertension"
"Diagnosis of renovascular hypertension - primary research (Structured abstract)","Exclude","",,
"The diagnostic accuracy of Doppler echocardiography in assessment of pulmonary artery systolic pressure: a meta-analysis (Provisional abstract)","Exclude","","Exclude","The diagnostic accuracy of Doppler echocardiography in assessment of pulmonary artery systolic pressure: a meta-analysis"
"Diagnostic accuracy of echocardiography for pulmonary hypertension: a systematic review and meta-analysis (Structured abstract)","Exclude","","Exclude","Diagnostic accuracy of echocardiography for pulmonary hypertension: a systematic review and meta-analysis"
"Diagnostic value of transthoracic Doppler echocardiography in pulmonary hypertension: a meta-analysis (Structured abstract)","Exclude","","Exclude","Diagnostic value of transthoracic Doppler echocardiography in pulmonary hypertension: a meta-analysis"
"Differential effects of calcium antagonist subclasses on markers of nephropathy progression (Provisional abstract)","Exclude","",,
